 0	483
 1	950
 2	1006
 3	1002
 4	998
 5	974
 6	1016
 7	1032
 8	918
 9	1026
10	987
11	1025
12	996
13	1018
14	1042
15	1020
16	941
17	1017
18	982
19	1022
20	1019
21	970
22	996
23	1071
24	1004
25	1035
26	1018
27	983
28	1049
29	1000
30	1009
31	1006
32	1017
33	980
34	1019
35	1002
36	975
37	991
38	994
39	974
40	1043
41	985
42	1052
43	1034
44	997
45	1022
46	1045
47	999
48	994
49	944
50	950
51	986
52	997
53	1024
54	970
55	1072
56	1036
57	975
58	970
59	985
60	975
61	1007
62	979
63	1017
64	1046
65	1021
66	991
67	1015
68	1014
69	1010
70	977
71	1013
72	1005
73	1034
74	1016
75	974
76	1037
77	1001
78	950
79	973
80	1001
81	1055
82	1008
83	973
84	1010
85	1025
86	948
87	1010
88	980
89	972
90	994
91	952
92	973
93	975
94	990
95	983
96	989
97	1016
98	1014
99	938
100	492
